Term,Subject,Course,CRN,Section,Start Time,End Time,Days,Building,Room,Primary Instructor(s),Additional Instructor(s),Enrollment Actual,Enrollment Maximum,Enrollment Seats Available,Waitlist Capacity,Waitlist Actual,Waitlist Seats Available,Building Code,Room Capacity,Utilization
Fall 2025,CS,CS 2110,93356,O05,18:30,19:45,MW,Klaus Advanced Computing,2456,Mark Moss,,6,50,44,0,0,0,153,75.0,0.08
Fall 2025,CS,CS 2110,93264,O1,17:00,18:15,W,Howey Physics,L1,Mark Moss,,27,150,123,50,0,50,81,268.0,0.10074626865671642
Fall 2025,CS,CS 2200,80169,A,17:00,18:15,M,Scheller College of Business,100,Daniel Forsyth,,298,325,27,200,0,200,172,348.0,0.8563218390804598
Fall 2025,CS,CS 2200,86783,A01,18:30,21:15,W,Mason,2117,Daniel Forsyth,,50,50,0,0,0,0,111,68.0,0.7352941176470589
Fall 2025,CS,CS 2200,88264,A02,18:30,21:15,W,Boggs,B5,Daniel Forsyth,,50,50,0,0,0,0,103,143.0,0.34965034965034963
Fall 2025,CS,CS 2200,88265,A03,18:30,21:15,W,Klaus Advanced Computing,1443,Daniel Forsyth,,50,50,0,0,0,0,153,200.0,0.25
Fall 2025,CS,CS 2200,88266,A04,18:30,21:15,W,Molecular Sciences and Engr,1222,Daniel Forsyth,,49,49,0,0,0,0,167,50.0,0.98
Fall 2025,CS,CS 2200,88267,A05,18:30,21:15,W,East Architecture,123,Daniel Forsyth,,50,50,0,0,0,0,76,242.0,0.2066115702479339
Fall 2025,CS,CS 2200,88273,A06,18:30,21:15,W,Kendeda,210,Daniel Forsyth,,49,49,0,0,0,0,210,64.0,0.765625
Fall 2025,CS,CS 2200,88113,B,18:30,19:45,R,Instructional Center,103,Daniel Forsyth,,270,300,30,50,0,50,55,300.0,0.9
Fall 2025,CS,CS 2200,88114,B01,18:30,21:15,W,East Architecture,207,Daniel Forsyth,,50,50,0,0,0,0,76,55.0,0.9090909090909091
Fall 2025,CS,CS 2200,90378,B02,18:30,21:15,W,Skiles,249,Daniel Forsyth,,50,50,0,0,0,0,2,72.0,0.6944444444444444
